customer_id,signup_date,acquisition_channel,region,email_opt_in,acquisition_cost
C000245,2024-02-04,paid_search,west,1,37.65
C000246,2023-11-16,organic,north,0,8.32
C000247,2024-09-08,paid_search,east,1,32.54
C000248,2023-12-17,affiliate,north,0,15.19
C000249,2024-03-22,affiliate,south,0,20.8
C000250,2024-01-05,organic,east,1,6.13
C000251,2024-01-06,organic,west,0,2.0
C000252,2023-08-20,paid_search,east,1,39.06
C000253,2024-09-18,paid_search,north,1,42.52
C000254,2024-07-28,paid_search,south,0,33.38
C000255,2024-12-02,paid_search,north,1,44.36
C000256,2024-03-11,affiliate,west,1,26.48
C000257,2023-12-02,affiliate,north,1,30.11
C000258,2023-03-05,paid_social,south,1,32.48
C000259,2025-01-05,paid_search,west,1,41.48
C000260,2024-10-21,affiliate,south,1,38.91
C000261,2024-09-07,paid_social,north,1,29.68
C000262,2023-01-19,organic,north,0,6.55
C000263,2024-01-02,organic,east,1,7.51
C000264,2023-02-11,referral,east,1,13.99
C000265,2024-03-10,organic,north,1,4.14
C000266,2024-06-06,organic,south,1,2.0
C000267,2023-08-02,paid_search,north,1,43.02
C000268,2024-09-09,referral,east,0,22.82
C000269,2023-08-14,organic,west,1,16.95
C000270,2023-08-28,affiliate,south,1,27.64
C000271,2024-03-01,organic,west,1,11.55
C000272,2023-07-15,organic,south,1,5.67
C000273,2023-02-07,paid_search,east,1,57.02
C000274,2024-06-13,affiliate,south,1,19.17
C000275,2025-01-15,referral,east,1,5.74
C000276,2024-01-04,organic,west,1,11.18
C000277,2024-10-21,paid_search,north,1,35.71
C000278,2023-05-25,paid_search,south,1,42.71
C000279,2024-12-14,organic,south,1,10.27
C000280,2024-03-23,organic,east,0,18.89
C000281,2024-05-04,affiliate,north,0,30.26
C000282,2023-11-06,referral,west,0,5.25
C000283,2023-06-19,organic,west,1,16.39
C000284,2024-10-10,organic,south,0,8.67
C000285,2023-11-28,affiliate,east,1,29.46
C000286,2023-09-29,organic,east,1,2.0
C000287,2024-05-22,referral,west,1,15.24
C000288,2023-04-01,paid_search,east,1,50.49
C000289,2023-02-03,paid_search,north,0,32.08
C000290,2024-06-03,paid_search,east,1,42.64
C000291,2023-04-03,organic,south,1,12.26
C000292,2025-01-20,paid_search,east,1,48.65
C000293,2023-11-08,paid_search,north,0,49.2
C000294,2023-04-18,paid_social,north,0,29.38
C000295,2024-11-10,organic,west,1,2.93
C000296,2023-08-14,organic,east,1,13.25
C000297,2023-10-30,referral,south,1,20.61
C000298,2024-07-12,paid_search,west,1,45.66
C000299,2024-05-23,paid_search,south,1,50.93
C000300,2023-10-01,paid_search,north,1,40.38
C000301,2023-12-20,referral,north,1,14.59
C000302,2023-05-04,affiliate,east,1,31.09
C000303,2023-10-27,paid_search,west,1,47.09
C000304,2024-04-14,organic,west,1,2.0
C000305,2023-08-15,organic,west,1,2.0
C000306,2024-10-02,referral,south,1,22.7
C000307,2023-07-24,paid_search,north,0,52.04
C000308,2024-04-13,paid_social,east,1,27.56
C000309,2024-01-12,organic,east,1,9.04
C000310,2023-02-14,paid_social,south,1,35.91
C000311,2024-06-04,affiliate,south,1,34.91
C000312,2024-05-02,affiliate,west,1,22.84
C000313,2023-11-17,referral,north,0,22.65
C000314,2024-06-29,paid_search,west,0,44.3
C000315,2023-05-12,paid_search,south,0,43.59
C000316,2024-03-04,paid_social,north,1,29.83
C000317,2023-11-05,organic,west,0,12.27
C000318,2023-12-30,paid_search,west,0,49.27
C000319,2023-04-27,paid_search,north,1,40.84
C000320,2023-11-05,referral,east,1,5.32
C000321,2023-05-13,referral,east,1,13.61
C000322,2023-01-26,paid_search,south,1,48.74
C000323,2023-02-24,affiliate,north,1,25.58
C000324,2024-04-19,organic,east,1,4.4
C000325,2025-01-26,paid_social,north,1,24.71
C000326,2024-08-27,paid_search,south,0,41.27
C000327,2024-11-27,referral,south,0,6.2
C000328,2023-09-22,paid_search,east,1,54.17
C000329,2024-05-30,organic,east,0,8.51
C000330,2023-05-07,paid_search,south,1,50.18
C000331,2024-01-13,affiliate,south,0,19.52
C000332,2024-06-05,organic,west,1,6.16
C000333,2024-03-14,paid_social,south,1,37.71
C000334,2023-06-17,organic,north,1,9.38
C000335,2024-04-22,organic,east,1,3.79
C000336,2024-07-25,paid_search,north,1,35.23
C000337,2025-02-22,paid_social,west,1,43.3
C000338,2024-04-26,organic,west,1,2.0
C000339,2025-02-08,paid_search,west,0,38.46
C000340,2024-05-11,referral,west,0,12.58
C000341,2023-08-28,referral,south,0,15.68
C000342,2023-02-09,organic,south,1,3.75
C000343,2023-03-15,affiliate,west,1,25.71
C000344,2024-09-02,paid_search,south,1,40.84
C000345,2023-10-15,organic,east,0,2.65
C000346,2025-01-23,organic,west,1,2.0
C000347,2024-05-24,paid_social,south,0,42.72
C000348,2023-08-15,paid_social,north,0,22.42
C000349,2024-02-19,organic,west,0,15.73
C000350,2025-01-12,paid_social,west,1,30.31
C000351,2023-05-04,affiliate,north,1,24.75
C000352,2023-01-26,paid_social,west,1,41.54
C000353,2023-05-03,paid_social,west,1,43.82
C000354,2024-10-16,paid_search,north,1,49.96
C000355,2024-08-23,organic,east,1,12.58
C000356,2024-07-24,affiliate,east,1,30.22
C000357,2024-01-15,organic,north,1,2.0
C000358,2023-02-11,paid_social,west,1,19.53
C000359,2024-08-17,paid_social,west,0,38.66
C000360,2024-03-12,organic,east,1,3.89
C000361,2023-09-16,paid_search,north,0,36.25
C000362,2023-10-19,paid_search,east,1,43.82
C000363,2023-09-07,paid_search,south,1,43.98
C000364,2023-10-16,affiliate,east,0,17.69
C000365,2024-08-03,organic,east,1,10.17
C000366,2023-09-05,referral,east,1,14.72
C000367,2024-08-11,paid_search,east,0,38.67
C000368,2023-09-09,referral,east,1,19.92
C000369,2024-04-20,organic,south,0,2.0
C000370,2023-10-06,organic,east,1,5.16
C000371,2024-10-25,organic,north,1,12.24
C000372,2024-01-31,referral,east,0,19.63
C000373,2023-03-15,paid_search,east,1,48.51
C000374,2023-08-20,affiliate,south,0,32.58
C000375,2024-02-01,organic,north,1,17.96
C000376,2023-06-27,organic,south,1,8.82
C000377,2024-06-19,referral,north,0,18.64
C000378,2023-07-27,referral,east,1,12.17
C000379,2023-09-06,paid_search,north,1,41.6
C000380,2024-04-14,paid_search,west,1,35.09
C000381,2024-08-16,referral,south,1,11.38
C000382,2024-06-27,paid_search,north,1,49.0
C000383,2023-12-29,paid_search,north,1,42.66
C000384,2024-06-05,referral,north,1,11.66
C000385,2024-07-28,referral,north,0,9.77
C000386,2024-08-14,organic,east,1,8.03
C000387,2023-06-29,affiliate,south,1,31.36
C000388,2023-01-26,paid_search,north,1,37.78
C000389,2024-07-03,referral,west,1,16.0
C000390,2024-01-31,referral,east,1,11.95
C000391,2023-12-19,referral,west,1,21.95
C000392,2023-08-21,paid_search,west,1,49.99
C000393,2024-03-03,referral,west,1,8.0
C000394,2024-10-29,referral,west,1,15.87
C000395,2024-07-24,paid_social,east,1,29.62
C000396,2023-05-21,organic,south,1,4.78
C000397,2023-09-18,affiliate,east,0,21.82
C000398,2024-04-09,paid_social,west,1,40.06
C000399,2025-01-15,paid_search,west,0,46.19
C000400,2024-08-25,organic,south,1,13.64
C000401,2023-05-16,organic,north,1,10.46
C000402,2024-03-13,paid_search,east,1,37.12
C000403,2023-04-26,organic,east,1,6.39
C000404,2024-07-13,referral,north,1,21.87
C000405,2023-08-25,organic,west,0,13.37
C000406,2023-06-18,paid_search,north,1,48.07
C000407,2023-07-18,affiliate,east,1,32.42
C000408,2023-06-01,referral,east,1,12.03
C000409,2023-10-13,referral,north,1,25.86
C000410,2023-07-25,paid_social,east,1,37.23
C000411,2023-06-15,paid_search,east,1,42.32
C000412,2023-03-21,organic,east,1,7.61
C000413,2024-07-30,paid_search,south,1,40.47
C000414,2024-12-09,paid_search,west,1,44.91
C000415,2024-11-14,organic,south,0,4.62
C000416,2023-10-25,organic,west,1,14.21
C000417,2023-11-08,paid_social,west,1,32.29
C000418,2025-02-01,affiliate,east,1,32.61
C000419,2023-09-01,organic,east,1,8.68
C000420,2024-11-29,paid_social,south,1,35.33
C000421,2025-01-02,organic,east,1,16.42
C000422,2024-01-25,paid_search,south,1,40.83
C000423,2023-07-14,affiliate,north,1,26.48
C000424,2023-06-12,paid_social,south,1,30.77
C000425,2023-09-05,paid_search,east,1,45.44
C000426,2025-02-06,organic,west,0,11.33
C000427,2023-02-25,organic,east,0,8.07
C000428,2024-11-24,paid_social,north,1,26.86
C000429,2024-05-23,paid_search,south,1,47.96
C000430,2023-07-05,affiliate,north,0,18.37
C000431,2024-03-17,paid_search,south,1,36.14
C000432,2023-04-18,referral,east,1,18.04
C000433,2024-07-01,referral,north,0,13.54
C000434,2024-05-03,organic,east,1,6.54
C000435,2023-10-10,paid_search,south,1,49.48
C000436,2024-01-06,organic,east,0,12.94
C000437,2024-12-17,organic,east,1,2.0
C000438,2023-07-17,paid_search,east,1,37.5
C000439,2023-08-09,organic,north,1,10.96
C000440,2023-07-09,paid_social,north,0,33.71
C000441,2025-02-21,paid_search,east,0,39.12
C000442,2023-05-20,affiliate,west,1,29.67
C000443,2023-09-10,paid_search,west,1,35.11
C000444,2024-06-12,paid_search,north,0,40.73
C000445,2025-02-03,organic,north,1,4.68
C000446,2024-08-05,referral,north,0,11.22
C000447,2025-01-16,paid_search,north,1,42.25
C000448,2024-05-25,organic,west,1,9.6
C000449,2024-06-01,paid_search,west,0,41.58
C000450,2023-05-23,referral,west,1,19.13
C000451,2024-11-23,organic,east,0,5.61
C000452,2023-07-27,referral,north,1,26.14
C000453,2023-06-15,organic,east,1,11.12
C000454,2023-03-29,affiliate,west,0,39.85
C000455,2025-01-03,referral,east,1,17.4
C000456,2024-08-16,paid_search,south,1,45.99
C000457,2023-11-23,paid_search,north,1,39.54
C000458,2024-09-28,affiliate,east,0,28.01
C000459,2023-05-13,paid_search,east,1,46.79
C000460,2023-09-19,referral,south,1,17.18
C000461,2023-04-19,affiliate,south,1,25.67
C000462,2024-05-30,organic,east,1,11.24
C000463,2024-12-04,referral,east,1,10.48
C000464,2023-03-20,organic,east,1,9.5
C000465,2023-07-15,organic,north,1,12.3
C000466,2023-11-13,paid_social,west,1,32.37
C000467,2024-04-28,affiliate,west,1,15.25
C000468,2023-09-13,paid_social,north,0,32.71
C000469,2024-07-24,paid_social,east,1,37.35
C000470,2023-03-16,affiliate,north,1,31.26
C000471,2023-08-21,organic,south,1,2.0
C000472,2023-08-21,organic,north,1,10.15
C000473,2023-05-13,paid_social,north,0,29.0
C000474,2023-12-06,organic,south,1,4.96
C000475,2023-12-14,paid_search,west,1,53.99
C000476,2024-06-08,paid_social,south,1,32.74
C000477,2023-07-19,organic,east,1,11.75
C000478,2024-11-30,paid_social,south,1,41.44
C000479,2023-01-04,paid_social,east,0,28.77
C000480,2024-06-29,referral,south,1,16.96
C000481,2024-06-17,affiliate,south,1,23.68
C000482,2024-04-23,paid_social,north,0,30.42
C000483,2023-01-08,paid_social,east,1,45.98
C000484,2024-04-26,referral,west,0,5.75
C000485,2024-09-14,referral,south,1,10.0
C000486,2024-08-07,organic,east,1,16.36
C000487,2023-06-30,paid_search,west,1,45.79
C000488,2023-03-28,affiliate,north,0,25.87
C000489,2023-02-13,organic,east,1,4.66
C000490,2024-07-11,paid_search,east,1,42.78
C000491,2023-05-07,referral,north,1,13.15
C000492,2024-02-12,organic,east,1,10.49
C000493,2024-09-15,organic,east,1,2.51
C000494,2024-12-25,paid_social,west,1,43.31
C000495,2024-11-30,paid_social,south,1,34.88
C000496,2024-07-13,organic,north,0,11.0
C000497,2024-09-12,organic,west,1,9.56
C000498,2023-09-09,referral,south,1,16.76
C000499,2023-12-21,organic,south,1,7.32
C000500,2023-09-07,affiliate,north,0,24.25
C000501,2023-03-30,organic,west,1,10.83
C000502,2023-03-31,organic,west,1,2.0
C000503,2024-11-16,paid_search,west,1,36.95
C000504,2023-07-06,organic,east,1,13.29
C000505,2023-01-01,affiliate,east,0,27.05
C000506,2024-11-23,referral,west,1,6.87
C000507,2024-10-04,paid_search,west,1,44.37
C000508,2023-02-10,affiliate,east,0,28.22
C000509,2023-02-16,paid_search,north,1,42.31
C000510,2025-01-24,paid_social,south,1,40.97
C000511,2024-09-14,organic,south,1,7.86
C000512,2024-10-31,paid_search,east,0,36.33
C000513,2025-01-20,organic,east,1,7.58
C000514,2023-03-21,affiliate,south,1,29.14
C000515,2023-08-31,referral,south,0,12.93
C000516,2023-04-23,paid_search,east,0,40.68
C000517,2024-03-26,paid_social,east,1,39.83
C000518,2024-04-17,referral,south,1,21.03
C000519,2024-12-05,referral,west,1,12.82
C000520,2023-06-23,paid_social,north,1,34.35
C000521,2024-08-02,referral,east,1,19.61
C000522,2023-03-28,paid_social,south,1,21.89
C000523,2024-05-12,organic,west,1,10.19
C000524,2024-10-06,paid_social,north,1,36.52
C000525,2023-12-18,paid_search,north,1,39.26
C000526,2024-03-15,organic,south,1,10.17
C000527,2024-01-31,organic,north,1,9.07
C000528,2023-03-04,paid_social,south,1,28.64
C000529,2024-06-04,organic,east,1,2.61
C000530,2023-04-20,organic,west,1,11.35
C000531,2024-08-20,paid_search,north,0,42.81
C000532,2024-04-28,paid_search,west,0,40.73
C000533,2024-05-30,paid_search,south,1,43.01
C000534,2024-05-09,referral,south,1,4.55
C000535,2024-12-27,paid_social,west,1,42.68
C000536,2024-09-24,paid_search,south,0,45.19
C000537,2024-10-29,organic,north,1,4.72
C000538,2024-12-03,paid_search,south,1,39.97
C000539,2024-04-21,referral,south,1,15.77
C000540,2023-02-18,affiliate,north,0,37.03
C000541,2024-05-27,affiliate,south,1,17.51
C000542,2024-07-13,organic,east,0,14.64
C000543,2024-12-27,organic,south,0,13.62
C000544,2024-05-14,referral,east,1,11.04
C000545,2024-05-29,paid_social,south,1,38.82
C000546,2024-06-02,organic,east,1,9.2
C000547,2024-05-02,paid_social,south,1,40.48
C000548,2025-01-26,organic,south,1,11.48
C000549,2025-01-28,paid_search,west,1,41.35
C000550,2025-01-12,affiliate,west,0,32.61
C000551,2023-03-09,organic,south,1,3.51
C000552,2023-08-03,affiliate,north,1,28.96
C000553,2024-06-30,affiliate,east,1,18.53
C000554,2023-05-11,paid_search,east,0,43.07
C000555,2023-12-26,referral,north,1,18.75
C000556,2023-09-25,paid_social,east,1,32.65
C000557,2024-12-09,paid_search,west,0,45.12
C000558,2024-06-05,affiliate,west,0,29.81
C000559,2023-03-05,organic,west,1,2.0
C000560,2025-01-31,paid_search,east,1,45.79
C000561,2023-01-11,referral,north,1,22.7
C000562,2025-02-14,referral,east,1,15.93
C000563,2024-11-12,paid_search,east,1,40.64
C000564,2024-02-18,paid_search,east,1,40.46
C000565,2024-01-03,paid_social,north,0,23.83
C000566,2024-07-07,paid_search,east,1,34.02
C000567,2024-03-28,organic,south,0,6.6
C000568,2024-05-15,referral,east,1,4.73
C000569,2023-07-20,organic,south,1,8.02
C000570,2024-02-23,affiliate,east,1,28.75
C000571,2023-01-03,paid_search,north,0,46.12
C000572,2024-07-14,referral,west,1,8.63
C000573,2024-03-27,paid_social,west,1,33.5
C000574,2024-08-21,organic,north,1,6.38
C000575,2024-12-26,paid_social,south,1,30.81
C000576,2023-10-14,organic,west,0,3.23
C000577,2023-07-24,paid_search,north,1,36.48
C000578,2023-05-28,paid_search,west,1,46.17
C000579,2024-12-08,affiliate,south,1,25.62
C000580,2023-09-02,paid_social,east,1,31.49
C000581,2023-07-19,paid_search,north,0,35.45
C000582,2023-08-31,paid_search,west,1,48.7
C000583,2023-12-11,paid_search,north,1,45.72
C000584,2024-06-26,paid_social,north,1,41.04
C000585,2024-10-21,paid_search,north,1,38.28
C000586,2024-05-07,referral,north,1,11.2
C000587,2024-02-02,referral,west,1,10.85
C000588,2024-05-16,paid_social,east,0,36.69
C000589,2024-01-22,paid_social,east,0,29.76
C000590,2023-04-24,paid_search,west,1,40.88
C000591,2024-02-15,paid_social,north,0,37.73
C000592,2024-03-03,paid_social,north,1,35.39
C000593,2025-02-11,affiliate,north,0,30.97
C000594,2023-12-13,organic,south,1,20.5
C000595,2023-12-23,paid_social,north,1,40.09
C000596,2023-01-28,organic,east,1,16.25
C000597,2023-03-09,paid_search,north,0,42.79
C000598,2023-07-01,paid_search,south,1,42.18
C000599,2024-11-20,organic,south,0,10.09
C000600,2023-05-01,paid_social,west,1,33.02
C000601,2023-02-02,referral,west,1,20.47
C000602,2025-02-06,referral,west,1,22.78
