order_id,customer_id,order_date,gross_revenue,returned,net_revenue,gross_margin
O00052799,C006956,2024-01-04,47.42,0,47.42,24.24
O00052883,C006968,2024-01-04,20.66,0,20.66,6.84
O00057366,C007595,2024-01-04,78.85,0,78.85,32.75
O00001909,C000258,2024-01-05,33.63,0,33.63,13.52
O00003003,C000409,2024-01-05,44.67,0,44.67,17.19
O00003600,C000498,2024-01-05,19.37,0,19.37,7.92
O00006279,C000834,2024-01-05,77.68,0,77.68,37.21
O00010397,C001379,2024-01-05,138.52,0,138.52,58.86
O00015733,C002133,2024-01-05,16.51,0,16.51,6.82
O00016062,C002176,2024-01-05,31.54,0,31.54,12.35
O00016405,C002225,2024-01-05,72.98,0,72.98,24.24
O00020747,C002782,2024-01-05,41.63,0,41.63,16.3
O00023561,C003181,2024-01-05,30.08,0,30.08,12.58
O00024459,C003328,2024-01-05,26.39,0,26.39,10.69
O00033079,C004455,2024-01-05,11.82,0,11.82,6.25
O00044350,C005857,2024-01-05,12.5,0,12.5,5.69
O00046398,C006096,2024-01-05,18.33,0,18.33,5.57
O00052038,C006838,2024-01-05,24.64,0,24.64,10.9
O00055368,C007303,2024-01-05,17.01,0,17.01,6.89
O00056526,C007468,2024-01-05,54.27,0,54.27,16.03
O00060423,C007982,2024-01-05,44.99,0,44.99,22.31
O00007535,C000999,2024-01-06,16.69,0,16.69,6.98
O00012795,C001720,2024-01-06,26.77,0,26.77,9.7
O00015865,C002148,2024-01-06,21.88,1,0.0,0.0
O00021885,C002954,2024-01-06,22.26,0,22.26,8.58
O00023289,C003137,2024-01-06,36.22,0,36.22,15.63
O00025288,C003440,2024-01-06,22.16,0,22.16,8.83
O00029304,C003964,2024-01-06,98.87,0,98.87,61.78
O00035512,C004766,2024-01-06,56.18,0,56.18,21.07
O00038674,C005149,2024-01-06,42.74,0,42.74,16.9
O00041797,C005542,2024-01-06,87.02,1,0.0,0.0
O00047680,C006263,2024-01-06,29.1,0,29.1,14.22
O00048897,C006418,2024-01-06,33.67,0,33.67,14.13
O00049735,C006534,2024-01-06,25.2,0,25.2,12.43
O00050018,C006569,2024-01-06,20.16,0,20.16,9.68
O00055126,C007265,2024-01-06,53.47,0,53.47,23.28
O00003098,C000423,2024-01-07,68.0,0,68.0,35.65
O00004609,C000651,2024-01-07,65.91,0,65.91,22.92
O00004744,C000666,2024-01-07,27.44,0,27.44,10.74
O00006314,C000841,2024-01-07,34.97,0,34.97,10.92
O00006718,C000902,2024-01-07,54.18,0,54.18,26.53
O00008647,C001147,2024-01-07,56.24,0,56.24,26.42
O00010750,C001427,2024-01-07,34.42,0,34.42,14.34
O00010779,C001432,2024-01-07,63.4,0,63.4,28.62
O00012764,C001713,2024-01-07,52.05,0,52.05,24.98
O00023287,C003136,2024-01-07,34.67,1,0.0,0.0
O00026096,C003562,2024-01-07,43.67,0,43.67,21.31
O00052691,C006940,2024-01-07,51.22,0,51.22,20.1
O00052800,C006956,2024-01-07,14.72,0,14.72,6.13
O00056621,C007483,2024-01-07,63.87,0,63.87,26.98
O00058047,C007680,2024-01-07,64.97,0,64.97,25.88
O00000565,C000081,2024-01-08,55.34,0,55.34,23.01
O00003412,C000466,2024-01-08,65.09,0,65.09,24.85
O00008810,C001173,2024-01-08,26.69,0,26.69,10.54
O00012271,C001651,2024-01-08,18.82,0,18.82,9.35
O00014768,C001994,2024-01-08,46.71,0,46.71,17.68
O00015972,C002162,2024-01-08,55.35,0,55.35,29.02
O00017740,C002413,2024-01-08,29.28,0,29.28,13.5
O00021628,C002919,2024-01-08,54.28,0,54.28,26.68
O00023169,C003121,2024-01-08,44.2,0,44.2,20.63
O00024440,C003325,2024-01-08,22.72,0,22.72,7.45
O00032390,C004366,2024-01-08,74.4,0,74.4,34.37
O00033973,C004572,2024-01-08,32.5,0,32.5,9.74
O00039319,C005243,2024-01-08,73.36,0,73.36,29.33
O00044650,C005889,2024-01-08,53.01,0,53.01,25.96
O00052403,C006892,2024-01-08,99.39,0,99.39,49.47
O00052535,C006915,2024-01-08,45.6,0,45.6,19.41
O00055646,C007341,2024-01-08,36.92,0,36.92,15.24
O00004507,C000634,2024-01-09,30.88,0,30.88,14.22
O00009471,C001264,2024-01-09,54.49,0,54.49,20.49
O00017712,C002405,2024-01-09,49.56,0,49.56,19.87
O00017830,C002425,2024-01-09,30.4,0,30.4,14.23
O00025404,C003460,2024-01-09,82.07,0,82.07,35.7
O00033142,C004466,2024-01-09,37.02,0,37.02,12.53
O00037577,C005020,2024-01-09,10.28,0,10.28,4.03
O00044346,C005856,2024-01-09,21.16,0,21.16,8.77
O00045141,C005943,2024-01-09,30.12,0,30.12,13.34
O00045857,C006029,2024-01-09,66.72,0,66.72,25.51
O00050490,C006638,2024-01-09,43.08,0,43.08,19.07
O00052681,C006936,2024-01-09,44.47,0,44.47,17.61
O00054084,C007130,2024-01-09,17.21,1,0.0,0.0
O00011534,C001549,2024-01-10,126.49,0,126.49,54.54
O00019929,C002687,2024-01-10,16.26,0,16.26,6.65
O00025175,C003425,2024-01-10,49.14,0,49.14,18.67
O00031497,C004245,2024-01-10,30.66,0,30.66,14.47
O00039873,C005320,2024-01-10,61.96,0,61.96,24.28
O00043335,C005729,2024-01-10,12.27,0,12.27,5.74
O00059387,C007849,2024-01-10,42.39,1,0.0,0.0
O00060479,C007989,2024-01-10,31.39,0,31.39,13.15
O00009405,C001249,2024-01-11,84.28,0,84.28,45.15
O00010983,C001461,2024-01-11,40.7,0,40.7,14.79
O00013365,C001803,2024-01-11,36.17,0,36.17,14.01
O00015150,C002051,2024-01-11,145.94,1,0.0,0.0
O00016878,C002294,2024-01-11,23.84,0,23.84,11.92
O00017192,C002338,2024-01-11,20.15,0,20.15,7.96
O00018424,C002501,2024-01-11,18.57,0,18.57,8.56
O00021268,C002859,2024-01-11,10.84,0,10.84,5.43
O00022366,C003009,2024-01-11,61.69,0,61.69,24.72
O00022825,C003076,2024-01-11,36.67,0,36.67,14.63
O00022996,C003097,2024-01-11,35.97,0,35.97,16.75
O00023074,C003112,2024-01-11,21.18,0,21.18,10.96
O00023337,C003146,2024-01-11,46.42,0,46.42,22.5
O00023466,C003168,2024-01-11,22.03,0,22.03,10.72
O00026097,C003562,2024-01-11,48.7,0,48.7,16.36
O00032327,C004354,2024-01-11,26.53,0,26.53,13.96
O00034068,C004585,2024-01-11,24.95,0,24.95,11.37
O00040567,C005403,2024-01-11,71.92,0,71.92,29.42
O00042223,C005601,2024-01-11,23.7,0,23.7,9.53
O00046151,C006067,2024-01-11,23.86,0,23.86,11.74
O00046797,C006150,2024-01-11,62.48,0,62.48,30.65
O00046858,C006158,2024-01-11,25.26,0,25.26,7.57
O00057529,C007615,2024-01-11,18.29,0,18.29,7.51
O00057829,C007648,2024-01-11,13.32,1,0.0,0.0
O00057896,C007658,2024-01-11,52.89,0,52.89,20.51
O00005704,C000765,2024-01-12,72.47,0,72.47,23.32
O00010026,C001331,2024-01-12,40.49,0,40.49,15.61
O00011440,C001528,2024-01-12,34.97,0,34.97,12.5
O00012069,C001625,2024-01-12,46.5,0,46.5,22.73
O00030869,C004173,2024-01-12,21.79,0,21.79,9.38
O00036365,C004861,2024-01-12,34.73,0,34.73,14.67
O00038907,C005185,2024-01-12,53.93,0,53.93,27.76
O00051009,C006705,2024-01-12,33.43,0,33.43,17.66
O00053234,C007018,2024-01-12,21.04,0,21.04,8.53
O00054861,C007233,2024-01-12,33.5,0,33.5,17.24
O00054959,C007242,2024-01-12,23.92,1,0.0,0.0
O00058768,C007772,2024-01-12,8.0,0,8.0,3.83
O00008710,C001156,2024-01-13,44.86,0,44.86,19.53
O00008865,C001179,2024-01-13,30.43,0,30.43,14.11
O00018877,C002565,2024-01-13,43.67,0,43.67,22.95
O00023046,C003104,2024-01-13,40.02,0,40.02,15.26
O00031744,C004278,2024-01-13,80.26,0,80.26,39.73
O00032388,C004365,2024-01-13,86.89,0,86.89,37.29
O00034780,C004680,2024-01-13,22.96,0,22.96,10.14
O00037054,C004945,2024-01-13,22.65,0,22.65,10.33
O00040871,C005428,2024-01-13,25.8,0,25.8,13.44
O00046064,C006057,2024-01-13,31.14,0,31.14,11.58
O00056718,C007499,2024-01-13,18.01,0,18.01,9.34
O00059918,C007919,2024-01-13,54.46,0,54.46,27.26
O00003557,C000491,2024-01-14,62.28,0,62.28,28.58
O00004474,C000631,2024-01-14,126.49,0,126.49,60.38
O00012200,C001640,2024-01-14,34.26,0,34.26,16.13
O00012326,C001657,2024-01-14,8.0,0,8.0,3.28
O00012786,C001717,2024-01-14,69.98,0,69.98,28.88
O00019720,C002659,2024-01-14,60.58,0,60.58,27.9
O00023441,C003163,2024-01-14,16.4,0,16.4,7.55
O00027914,C003793,2024-01-14,22.9,0,22.9,11.2
O00035752,C004792,2024-01-14,56.42,0,56.42,17.74
O00039431,C005262,2024-01-14,32.71,0,32.71,13.28
O00042274,C005608,2024-01-14,27.02,0,27.02,16.01
O00044178,C005835,2024-01-14,38.48,0,38.48,16.86
O00051877,C006820,2024-01-14,36.84,0,36.84,16.89
O00059016,C007799,2024-01-14,114.3,0,114.3,56.41
O00060118,C007947,2024-01-14,52.27,0,52.27,26.79
O00000124,C000020,2024-01-15,13.0,0,13.0,5.68
O00003539,C000488,2024-01-15,63.15,0,63.15,28.53
O00003663,C000514,2024-01-15,8.0,0,8.0,3.08
O00008400,C001113,2024-01-15,11.33,0,11.33,4.42
O00010231,C001357,2024-01-15,15.17,0,15.17,5.71
O00010960,C001457,2024-01-15,33.45,0,33.45,12.76
O00019472,C002634,2024-01-15,55.35,0,55.35,23.11
O00020017,C002696,2024-01-15,86.4,0,86.4,37.19
O00025372,C003452,2024-01-15,10.51,0,10.51,4.28
O00031507,C004248,2024-01-15,143.35,0,143.35,53.06
O00039412,C005259,2024-01-15,50.11,0,50.11,24.06
O00041681,C005529,2024-01-15,17.29,0,17.29,7.77
O00052447,C006898,2024-01-15,60.59,0,60.59,25.22
O00053901,C007104,2024-01-15,21.63,0,21.63,9.86
O00000001,C000001,2024-01-16,30.61,0,30.61,16.44
O00000745,C000101,2024-01-16,64.42,0,64.42,26.75
O00001171,C000158,2024-01-16,28.77,0,28.77,12.83
O00002165,C000293,2024-01-16,9.41,0,9.41,3.9
O00004319,C000607,2024-01-16,43.61,0,43.61,16.34
O00006381,C000853,2024-01-16,32.58,0,32.58,16.02
O00006717,C000901,2024-01-16,12.72,1,0.0,0.0
O00011622,C001560,2024-01-16,116.79,0,116.79,41.07
O00012241,C001646,2024-01-16,25.24,0,25.24,11.72
O00013863,C001877,2024-01-16,49.26,1,0.0,0.0
O00014842,C002008,2024-01-16,41.92,0,41.92,14.54
O00015119,C002045,2024-01-16,90.77,0,90.77,38.33
O00016082,C002180,2024-01-16,61.69,0,61.69,28.41
O00022826,C003076,2024-01-16,27.79,0,27.79,14.27
O00023758,C003216,2024-01-16,26.21,0,26.21,8.72
O00026748,C003644,2024-01-16,23.24,0,23.24,12.99
O00039302,C005239,2024-01-16,18.98,0,18.98,8.81
O00041292,C005480,2024-01-16,42.56,0,42.56,16.37
O00050183,C006591,2024-01-16,20.83,0,20.83,8.08
O00051420,C006764,2024-01-16,28.76,0,28.76,10.44
O00058074,C007684,2024-01-16,37.86,0,37.86,18.08
O00060554,C008000,2024-01-16,28.21,0,28.21,10.13
O00001661,C000228,2024-01-17,8.0,0,8.0,3.99
O00002802,C000378,2024-01-17,8.86,0,8.86,3.61
O00002924,C000397,2024-01-17,33.69,1,0.0,0.0
O00004287,C000600,2024-01-17,33.92,1,0.0,0.0
O00005793,C000779,2024-01-17,45.9,0,45.9,18.33
O00006416,C000861,2024-01-17,53.63,0,53.63,28.0
O00007882,C001039,2024-01-17,52.75,0,52.75,23.3
O00010894,C001451,2024-01-17,52.54,0,52.54,21.7
O00016404,C002224,2024-01-17,23.14,0,23.14,9.21
O00028620,C003876,2024-01-17,58.37,1,0.0,0.0
O00033143,C004466,2024-01-17,70.33,0,70.33,35.52
O00033282,C004485,2024-01-17,55.96,0,55.96,21.84
O00039790,C005313,2024-01-17,38.66,0,38.66,14.72
O00054644,C007209,2024-01-17,41.51,0,41.51,17.63
O00058033,C007676,2024-01-17,44.55,0,44.55,18.3
O00059442,C007856,2024-01-17,59.99,0,59.99,29.52
O00059961,C007926,2024-01-17,15.5,0,15.5,7.99
O00008812,C001174,2024-01-18,30.22,0,30.22,15.3
O00009406,C001249,2024-01-18,182.94,0,182.94,83.94
O00018560,C002515,2024-01-18,26.79,0,26.79,14.26
O00020810,C002794,2024-01-18,8.0,0,8.0,3.01
O00021446,C002889,2024-01-18,44.26,0,44.26,17.25
O00022365,C003009,2024-01-18,13.43,0,13.43,6.21
O00035982,C004817,2024-01-18,39.97,0,39.97,16.04
O00036591,C004883,2024-01-18,8.34,0,8.34,3.49
O00042983,C005685,2024-01-18,109.37,0,109.37,47.49
O00045203,C005952,2024-01-18,39.53,0,39.53,19.23
O00051154,C006724,2024-01-18,84.98,0,84.98,39.74
O00051288,C006741,2024-01-18,114.2,0,114.2,41.43
O00057108,C007555,2024-01-18,57.35,0,57.35,27.99
O00057790,C007643,2024-01-18,26.33,0,26.33,11.17
O00060560,C008000,2024-01-18,32.12,0,32.12,14.36
O00004513,C000635,2024-01-19,53.0,0,53.0,24.09
O00010901,C001452,2024-01-19,105.54,0,105.54,40.29
O00013076,C001758,2024-01-19,8.0,0,8.0,4.07
O00017356,C002360,2024-01-19,69.8,0,69.8,33.42
O00019251,C002606,2024-01-19,50.8,0,50.8,20.27
O00025867,C003525,2024-01-19,114.8,0,114.8,50.63
O00028030,C003804,2024-01-19,80.62,0,80.62,34.71
O00033448,C004506,2024-01-19,100.1,1,0.0,0.0
O00037514,C005010,2024-01-19,19.08,0,19.08,8.15
O00037740,C005043,2024-01-19,28.09,0,28.09,13.37
O00047997,C006299,2024-01-19,30.77,0,30.77,14.38
O00048715,C006389,2024-01-19,90.07,0,90.07,38.4
O00052842,C006963,2024-01-19,26.03,0,26.03,13.79
O00053039,C006989,2024-01-19,10.14,0,10.14,4.8
O00055619,C007336,2024-01-19,8.0,0,8.0,3.74
O00056563,C007475,2024-01-19,24.13,0,24.13,11.75
O00058193,C007698,2024-01-19,30.76,0,30.76,14.35
O00059284,C007834,2024-01-19,63.44,0,63.44,22.6
O00001703,C000235,2024-01-20,10.1,0,10.1,3.12
O00003322,C000452,2024-01-20,57.55,0,57.55,22.74
O00008742,C001161,2024-01-20,62.37,0,62.37,25.76
O00009322,C001235,2024-01-20,36.48,1,0.0,0.0
O00012765,C001713,2024-01-20,16.69,0,16.69,6.77
O00013293,C001789,2024-01-20,67.62,0,67.62,33.91
O00015693,C002127,2024-01-20,48.06,0,48.06,21.9
O00016013,C002167,2024-01-20,42.11,0,42.11,19.95
O00016649,C002256,2024-01-20,32.44,0,32.44,15.32
O00019367,C002623,2024-01-20,23.57,0,23.57,8.42
O00029307,C003964,2024-01-20,26.88,0,26.88,15.22
O00039320,C005243,2024-01-20,52.42,0,52.42,28.6
O00044040,C005822,2024-01-20,39.17,0,39.17,16.41
O00048242,C006330,2024-01-20,53.36,0,53.36,15.08
O00052401,C006891,2024-01-20,60.46,0,60.46,34.77
O00052493,C006907,2024-01-20,40.71,0,40.71,15.5
O00060368,C007975,2024-01-20,29.98,0,29.98,12.79
O00002169,C000294,2024-01-21,22.32,0,22.32,6.29
O00002197,C000297,2024-01-21,47.33,0,47.33,19.68
O00003477,C000479,2024-01-21,48.5,0,48.5,18.72
O00007572,C001004,2024-01-21,36.58,0,36.58,19.6
O00018422,C002500,2024-01-21,42.72,0,42.72,19.41
O00021886,C002954,2024-01-21,45.14,0,45.14,16.69
O00023943,C003247,2024-01-21,49.74,0,49.74,19.44
O00024683,C003356,2024-01-21,59.85,0,59.85,21.68
O00027118,C003688,2024-01-21,24.7,0,24.7,10.33
O00028952,C003920,2024-01-21,42.79,0,42.79,17.56
O00032485,C004382,2024-01-21,62.95,0,62.95,28.79
O00033444,C004506,2024-01-21,77.97,0,77.97,36.07
O00033886,C004558,2024-01-21,96.6,1,0.0,0.0
O00037283,C004969,2024-01-21,62.8,1,0.0,0.0
O00046070,C006058,2024-01-21,26.26,0,26.26,11.66
O00053037,C006989,2024-01-21,14.7,0,14.7,6.43
O00000829,C000110,2024-01-22,32.44,0,32.44,13.46
O00004514,C000635,2024-01-22,43.54,0,43.54,18.22
O00013499,C001824,2024-01-22,8.7,0,8.7,3.49
O00018628,C002523,2024-01-22,22.45,0,22.45,10.45
O00019574,C002645,2024-01-22,21.05,0,21.05,10.59
O00019739,C002661,2024-01-22,21.53,0,21.53,8.46
O00023357,C003151,2024-01-22,24.14,0,24.14,9.17
O00031094,C004203,2024-01-22,9.35,0,9.35,3.58
O00032365,C004360,2024-01-22,60.43,0,60.43,26.67
O00035556,C004771,2024-01-22,39.4,0,39.4,18.6
O00036519,C004875,2024-01-22,29.79,0,29.79,12.07
O00037687,C005036,2024-01-22,26.93,0,26.93,11.22
O00045341,C005969,2024-01-22,141.07,0,141.07,50.87
O00047277,C006209,2024-01-22,37.1,1,0.0,0.0
O00057912,C007660,2024-01-22,47.97,0,47.97,22.28
O00004291,C000600,2024-01-23,20.14,0,20.14,9.44
O00013404,C001807,2024-01-23,9.45,0,9.45,2.95
O00015071,C002037,2024-01-23,32.0,1,0.0,0.0
O00015697,C002127,2024-01-23,38.03,0,38.03,15.86
O00023985,C003253,2024-01-23,20.3,0,20.3,9.05
O00026824,C003651,2024-01-23,121.74,0,121.74,50.3
O00030017,C004048,2024-01-23,53.0,0,53.0,23.12
O00031279,C004217,2024-01-23,73.86,0,73.86,35.38
O00039060,C005208,2024-01-23,94.27,0,94.27,33.76
O00039543,C005277,2024-01-23,43.83,0,43.83,20.17
O00052794,C006954,2024-01-23,70.74,0,70.74,28.33
O00052848,C006964,2024-01-23,94.07,0,94.07,53.64
O00053152,C007003,2024-01-23,8.0,0,8.0,3.77
O00058072,C007684,2024-01-23,29.63,0,29.63,15.04
O00060055,C007938,2024-01-23,43.8,0,43.8,21.49
O00003891,C000554,2024-01-24,16.01,0,16.01,5.39
O00004458,C000628,2024-01-24,90.39,0,90.39,37.29
O00008695,C001155,2024-01-24,71.14,0,71.14,29.7
O00010903,C001452,2024-01-24,43.1,0,43.1,18.54
O00012340,C001660,2024-01-24,71.05,0,71.05,22.88
O00014370,C001941,2024-01-24,29.28,0,29.28,10.68
O00016177,C002194,2024-01-24,86.87,0,86.87,46.66
O00016653,C002257,2024-01-24,18.26,0,18.26,7.38
O00019927,C002687,2024-01-24,12.08,0,12.08,5.02
O00023763,C003221,2024-01-24,46.27,0,46.27,17.19
O00026343,C003590,2024-01-24,33.93,0,33.93,15.41
O00033330,C004491,2024-01-24,11.2,0,11.2,5.04
O00038269,C005100,2024-01-24,80.1,0,80.1,36.62
O00038279,C005101,2024-01-24,43.04,0,43.04,20.34
O00043834,C005791,2024-01-24,28.9,0,28.9,11.08
O00052462,C006900,2024-01-24,84.38,0,84.38,35.77
O00053970,C007114,2024-01-24,30.23,1,0.0,0.0
O00010187,C001352,2024-01-25,8.0,0,8.0,3.05
O00015209,C002059,2024-01-25,44.27,0,44.27,19.69
O00022103,C002978,2024-01-25,60.49,0,60.49,18.72
O00024845,C003379,2024-01-25,52.12,0,52.12,23.77
O00028864,C003909,2024-01-25,28.53,0,28.53,13.24
O00036184,C004839,2024-01-25,29.88,0,29.88,14.76
O00038768,C005161,2024-01-25,12.81,0,12.81,6.73
O00039520,C005274,2024-01-25,30.72,0,30.72,10.54
O00041601,C005518,2024-01-25,48.76,0,48.76,19.91
O00051822,C006814,2024-01-25,35.02,0,35.02,16.05
O00055874,C007376,2024-01-25,39.15,0,39.15,12.73
O00056707,C007496,2024-01-25,21.4,0,21.4,9.82
O00057128,C007558,2024-01-25,69.89,1,0.0,0.0
O00003410,C000465,2024-01-26,23.89,0,23.89,11.61
O00006338,C000846,2024-01-26,23.87,0,23.87,10.36
O00014389,C001944,2024-01-26,58.89,0,58.89,23.97
O00015230,C002062,2024-01-26,23.22,0,23.22,11.38
O00016170,C002192,2024-01-26,45.06,0,45.06,18.65
O00019281,C002611,2024-01-26,16.86,0,16.86,5.06
O00024898,C003387,2024-01-26,9.76,0,9.76,3.93
O00025997,C003543,2024-01-26,16.36,0,16.36,6.63
O00027714,C003769,2024-01-26,37.41,0,37.41,12.73
O00033098,C004458,2024-01-26,8.0,0,8.0,3.88
O00034341,C004620,2024-01-26,40.55,0,40.55,19.78
O00034843,C004687,2024-01-26,37.98,0,37.98,14.74
O00039182,C005225,2024-01-26,215.42,0,215.42,87.99
O00039281,C005236,2024-01-26,25.55,0,25.55,10.82
O00043043,C005694,2024-01-26,63.49,0,63.49,31.12
O00049217,C006467,2024-01-26,25.09,0,25.09,10.36
O00049366,C006485,2024-01-26,53.07,0,53.07,24.32
O00050491,C006639,2024-01-26,52.93,0,52.93,24.1
O00056684,C007492,2024-01-26,45.21,0,45.21,16.15
O00057472,C007610,2024-01-26,32.43,0,32.43,17.78
O00003377,C000461,2024-01-27,139.76,1,0.0,0.0
O00008114,C001073,2024-01-27,34.71,0,34.71,14.82
O00014985,C002025,2024-01-27,29.82,0,29.82,16.5
O00015713,C002131,2024-01-27,37.99,0,37.99,15.34
O00021684,C002929,2024-01-27,28.3,0,28.3,11.57
O00021883,C002954,2024-01-27,32.31,0,32.31,14.62
O00027512,C003741,2024-01-27,89.01,0,89.01,41.06
O00028434,C003847,2024-01-27,69.51,0,69.51,28.77
O00031667,C004272,2024-01-27,110.89,0,110.89,46.57
O00035919,C004808,2024-01-27,9.87,0,9.87,4.19
O00038190,C005093,2024-01-27,75.13,0,75.13,35.01
O00039519,C005274,2024-01-27,19.25,0,19.25,8.31
O00041609,C005521,2024-01-27,31.35,0,31.35,11.17
O00041679,C005529,2024-01-27,95.46,0,95.46,34.02
O00052411,C006894,2024-01-27,21.05,0,21.05,10.41
O00055509,C007322,2024-01-27,52.2,0,52.2,22.63
O00001450,C000194,2024-01-28,39.43,0,39.43,17.51
O00001588,C000217,2024-01-28,13.28,0,13.28,6.57
O00001659,C000228,2024-01-28,59.74,0,59.74,24.43
O00002235,C000300,2024-01-28,38.02,0,38.02,16.54
O00003542,C000489,2024-01-28,28.15,0,28.15,13.07
O00016063,C002176,2024-01-28,39.9,0,39.9,19.21
O00019110,C002587,2024-01-28,32.95,0,32.95,13.71
O00019783,C002667,2024-01-28,42.58,0,42.58,15.26
O00020386,C002737,2024-01-28,12.92,0,12.92,4.95
O00021386,C002882,2024-01-28,22.95,0,22.95,9.44
O00025346,C003448,2024-01-28,43.08,0,43.08,16.14
O00028617,C003875,2024-01-28,66.87,0,66.87,35.4
O00033525,C004513,2024-01-28,36.42,0,36.42,12.66
O00033884,C004558,2024-01-28,47.15,0,47.15,14.71
O00039362,C005249,2024-01-28,15.8,0,15.8,7.51
O00042564,C005643,2024-01-28,18.91,0,18.91,6.73
O00043033,C005692,2024-01-28,86.14,0,86.14,43.45
O00045913,C006040,2024-01-28,41.52,0,41.52,15.84
